Numero	url	cat1	cat2	cat3	cat4	cat5	cat6
10	https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157648011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_2	Arts & Photography	Architecture	International	British		
11	https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157649011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_3	Arts & Photography	Architecture	International	European		
12	https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157651011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_4	Arts & Photography	Architecture	International	Middle Eastern		
13	https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157652011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_5	Arts & Photography	Architecture	International	United States		
14	https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157653011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_6	Arts & Photography	Architecture	International	United States (Southern)		
15	https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157654011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_8	Arts & Photography	Architecture	Landscape			
16	https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157655011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_9	Arts & Photography	Architecture	Project Planning & Management			
17	https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157656011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_10	Arts & Photography	Architecture	Reference			
18	https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157657011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_11	Arts & Photography	Architecture	Study & Teaching			
19	https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157658011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_12	Arts & Photography	Architecture	Urban & Land Use Planning			
20	https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A14530422011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_13	Arts & Photography	Architecture	Vernacular Architecture			
21	https://www.amazon.com/s?bbn=154609011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154610011&dc&qid=1689403068&rnid=154609011&ref=lp_154609011_nr_n_0	Arts & Photography	Art	Art History	Criticism		
22	https://www.amazon.com/s?bbn=154612011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154612011%2Cn%3A154613011&dc&qid=1689403072&rnid=154612011&ref=lp_154612011_nr_n_0	Arts & Photography	Art	Art History	Regional	African	
23	https://www.amazon.com/s?bbn=154612011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154612011%2Cn%3A154614011&dc&qid=1689403072&rnid=154612011&ref=lp_154612011_nr_n_1	Arts & Photography	Art	Art History	Regional	Black & African American	
24	https://www.amazon.com/s?bbn=154612011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154612011%2Cn%3A154615011&dc&qid=1689403072&rnid=154612011&ref=lp_154612011_nr_n_2	Arts & Photography	Art	Art History	Regional	Asian	
25	https://www.amazon.com/s?bbn=154612011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154612011%2Cn%3A154616011&dc&qid=1689403072&rnid=154612011&ref=lp_154612011_nr_n_3	Arts & Photography	Art	Art History	Regional	Caribbean & Latin American	
26	https://www.amazon.com/s?bbn=154612011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154612011%2Cn%3A154617011&dc&qid=1689403072&rnid=154612011&ref=lp_154612011_nr_n_4	Arts & Photography	Art	Art History	Regional	European	
27	https://www.amazon.com/s?bbn=154612011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154612011%2Cn%3A154618011&dc&qid=1689403072&rnid=154612011&ref=lp_154612011_nr_n_5	Arts & Photography	Art	Art History	Regional	Middle Eastern	
28	https://www.amazon.com/s?bbn=154612011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154612011%2Cn%3A154619011&dc&qid=1689403072&rnid=154612011&ref=lp_154612011_nr_n_6	Arts & Photography	Art	Art History	Regional	Native American	
29	https://www.amazon.com/s?bbn=154612011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154612011%2Cn%3A154620011&dc&qid=1689403072&rnid=154612011&ref=lp_154612011_nr_n_7	Arts & Photography	Art	Art History	Regional	United States	
30	https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154622011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_0	Arts & Photography	Art	Art History	Schools, Periods & Styles	Ancient & Classical	
31	https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154623011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_1	Arts & Photography	Art	Art History	Schools, Periods & Styles	Baroque	
32	https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154624011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_2	Arts & Photography	Art	Art History	Schools, Periods & Styles	Impressionism	
33	https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154625011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_3	Arts & Photography	Art	Art History	Schools, Periods & Styles	Medieval	
34	https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154626011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_4	Arts & Photography	Art	Art History	Schools, Periods & Styles	Modern	
35	https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154627011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_5	Arts & Photography	Art	Art History	Schools, Periods & Styles	Neoclassical	
36	https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154628011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_6	Arts & Photography	Art	Art History	Schools, Periods & Styles	Prehistoric & Primitive	
37	https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154629011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_7	Arts & Photography	Art	Art History	Schools, Periods & Styles	Renaissance	
38	https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154630011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_8	Arts & Photography	Art	Art History	Schools, Periods & Styles	Romantic	
39	https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154631011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_9	Arts & Photography	Art	Art History	Schools, Periods & Styles	Surrealism	
40	https://www.amazon.com/s?bbn=154608011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A2309013011&dc&qid=1689403066&rnid=154608011&ref=lp_154608011_nr_n_1	Arts & Photography	Art	Erotica			
41	https://www.amazon.com/s?bbn=154633011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154633011%2Cn%3A154634011&dc&qid=1689403111&rnid=154633011&ref=lp_154633011_nr_n_0	Arts & Photography	Art	Instruction & Reference	Business of Art		
42	https://www.amazon.com/s?bbn=154633011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154633011%2Cn%3A154635011&dc&qid=1689403111&rnid=154633011&ref=lp_154633011_nr_n_1	Arts & Photography	Art	Instruction & Reference	Collecting		
43	https://www.amazon.com/s?bbn=154633011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154633011%2Cn%3A154636011&dc&qid=1689403111&rnid=154633011&ref=lp_154633011_nr_n_2	Arts & Photography	Art	Instruction & Reference	Color		
44	https://www.amazon.com/s?bbn=154633011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154633011%2Cn%3A154637011&dc&qid=1689403111&rnid=154633011&ref=lp_154633011_nr_n_3	Arts & Photography	Art	Instruction & Reference	Figure Drawing		
45	https://www.amazon.com/s?bbn=154633011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154633011%2Cn%3A154639011&dc&qid=1689403111&rnid=154633011&ref=lp_154633011_nr_n_4	Arts & Photography	Art	Instruction & Reference	Reference		
46	https://www.amazon.com/s?bbn=154633011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154633011%2Cn%3A154640011&dc&qid=1689403111&rnid=154633011&ref=lp_154633011_nr_n_5	Arts & Photography	Art	Instruction & Reference	Study & Teaching		
47	https://www.amazon.com/s?bbn=154641011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154641011%2Cn%3A154643011&dc&qid=1689403122&rnid=154641011&ref=lp_154641011_nr_n_0	Arts & Photography	Art	Museums & Collections	Museums		
48	https://www.amazon.com/s?bbn=154641011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154641011%2Cn%3A154644011&dc&qid=1689403122&rnid=154641011&ref=lp_154641011_nr_n_1	Arts & Photography	Art	Museums & Collections	Private		
49	https://www.amazon.com/s?bbn=154645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154645011%2Cn%3A154646011&dc&qid=1689403127&rnid=154645011&ref=lp_154645011_nr_n_0	Arts & Photography	Art	Other Media	Ceramics		
50	https://www.amazon.com/s?bbn=154645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154645011%2Cn%3A154647011&dc&qid=1689403127&rnid=154645011&ref=lp_154645011_nr_n_1	Arts & Photography	Art	Other Media	Conceptual		
51	https://www.amazon.com/s?bbn=154645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154645011%2Cn%3A154648011&dc&qid=1689403127&rnid=154645011&ref=lp_154645011_nr_n_2	Arts & Photography	Art	Other Media	Mixed Media		
52	https://www.amazon.com/s?bbn=154645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154645011%2Cn%3A154649011&dc&qid=1689403127&rnid=154645011&ref=lp_154645011_nr_n_3	Arts & Photography	Art	Other Media	Mosaic		
53	https://www.amazon.com/s?bbn=154645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154645011%2Cn%3A17744479011&dc&qid=1689403127&rnid=154645011&ref=lp_154645011_nr_n_4	Arts & Photography	Art	Other Media	Video Games		
54	https://www.amazon.com/s?bbn=154608011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154650011&dc&qid=1689403066&rnid=154608011&ref=lp_154608011_nr_n_5	Arts & Photography	Art	Painting			
55	https://www.amazon.com/s?bbn=154608011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154653011&dc&qid=1689403066&rnid=154608011&ref=lp_154608011_nr_n_6	Arts & Photography	Art	Religious			
56	https://www.amazon.com/s?bbn=154608011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154654011&dc&qid=1689403066&rnid=154608011&ref=lp_154608011_nr_n_7	Arts & Photography	Art	Sculpture			
57	https://www.amazon.com/s?bbn=11650838011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A11650838011%2Cn%3A16232443011&dc&qid=1689403143&rnid=11650838011&ref=lp_11650838011_nr_n_0	Arts & Photography	Art	Subjects & Themes	Environmental & Land Art		
58	https://www.amazon.com/s?bbn=11650838011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A11650838011%2Cn%3A11650840011&dc&qid=1689403143&rnid=11650838011&ref=lp_11650838011_nr_n_1	Arts & Photography	Art	Subjects & Themes	Human Figure		
59	https://www.amazon.com/s?bbn=11650838011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A11650838011%2Cn%3A11650841011&dc&qid=1689403143&rnid=11650838011&ref=lp_11650838011_nr_n_2	Arts & Photography	Art	Subjects & Themes	Landscapes & Seascapes		
60	https://www.amazon.com/s?bbn=11650838011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A11650838011%2Cn%3A11650842011&dc&qid=1689403143&rnid=11650838011&ref=lp_11650838011_nr_n_3	Arts & Photography	Art	Subjects & Themes	Plants & Animals		
61	https://www.amazon.com/s?bbn=11650838011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A11650838011%2Cn%3A11650843011&dc&qid=1689403143&rnid=11650838011&ref=lp_11650838011_nr_n_4	Arts & Photography	Art	Subjects & Themes	Science Fiction & Fantasy		
62	https://www.amazon.com/s?bbn=154608011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A17744480011&dc&qid=1689403066&rnid=154608011&ref=lp_154608011_nr_n_9	Arts & Photography	Art	Women Artists			
63	https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154693011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_0	Arts & Photography	Dance	Ballet			
64	https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154694011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_1	Arts & Photography	Dance	Ballroom			
65	https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154695011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_2	Arts & Photography	Dance	Classical			
66	https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154696011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_3	Arts & Photography	Dance	Folk			
67	https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154698011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_4	Arts & Photography	Dance	Jazz			
68	https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154699011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_5	Arts & Photography	Dance	Modern			
69	https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154700011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_6	Arts & Photography	Dance	Notation			
70	https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154701011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_7	Arts & Photography	Dance	Popular			
71	https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154702011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_8	Arts & Photography	Dance	Reference			
72	https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154703011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_9	Arts & Photography	Dance	Tap			
73	https://www.amazon.com/s?bbn=154607011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154656011&dc&qid=1689403026&rnid=154607011&ref=lp_154607011_nr_n_3	Arts & Photography	Fashion				
74	https://www.amazon.com/s?bbn=154657011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154658011&dc&qid=1689403177&rnid=154657011&ref=lp_154657011_nr_n_0	Arts & Photography	Graphic Design	Airbrush			
75	https://www.amazon.com/s?bbn=154657011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154659011&dc&qid=1689403177&rnid=154657011&ref=lp_154657011_nr_n_1	Arts & Photography	Graphic Design	Animation			
76	https://www.amazon.com/s?bbn=154657011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154660011&dc&qid=1689403177&rnid=154657011&ref=lp_154657011_nr_n_2	Arts & Photography	Graphic Design	Calligraphy			
77	https://www.amazon.com/s?bbn=154657011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154661011&dc&qid=1689403177&rnid=154657011&ref=lp_154657011_nr_n_3	Arts & Photography	Graphic Design	Cartooning			
78	https://www.amazon.com/s?bbn=154657011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154662011&dc&qid=1689403177&rnid=154657011&ref=lp_154657011_nr_n_4	Arts & Photography	Graphic Design	Clip Art			
79	https://www.amazon.com/s?bbn=154663011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154663011%2Cn%3A154664011&dc&qid=1689403188&rnid=154663011&ref=lp_154663011_nr_n_0	Arts & Photography	Graphic Design	Commercial	Advertising		
80	https://www.amazon.com/s?bbn=154663011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154663011%2Cn%3A154665011&dc&qid=1689403188&rnid=154663011&ref=lp_154663011_nr_n_1	Arts & Photography	Graphic Design	Commercial	Annuals		
81	https://www.amazon.com/s?bbn=154663011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154663011%2Cn%3A154666011&dc&qid=1689403188&rnid=154663011&ref=lp_154663011_nr_n_2	Arts & Photography	Graphic Design	Commercial	Fashion Design		
82	https://www.amazon.com/s?bbn=154663011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154663011%2Cn%3A154668011&dc&qid=1689403188&rnid=154663011&ref=lp_154663011_nr_n_3	Arts & Photography	Graphic Design	Commercial	Illustration		
83	https://www.amazon.com/s?bbn=154663011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154663011%2Cn%3A154669011&dc&qid=1689403188&rnid=154663011&ref=lp_154663011_nr_n_4	Arts & Photography	Graphic Design	Commercial	Science Illustration		
84	https://www.amazon.com/s?bbn=154670011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154670011%2Cn%3A154671011&dc&qid=1689403198&rnid=154670011&ref=lp_154670011_nr_n_0	Arts & Photography	Graphic Design	Design	Books		
85	https://www.amazon.com/s?bbn=154670011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154670011%2Cn%3A154672011&dc&qid=1689403198&rnid=154670011&ref=lp_154670011_nr_n_1	Arts & Photography	Graphic Design	Design	Decorative		
86	https://www.amazon.com/s?bbn=154670011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154670011%2Cn%3A154673011&dc&qid=1689403198&rnid=154670011&ref=lp_154670011_nr_n_2	Arts & Photography	Graphic Design	Design	Furniture		
87	https://www.amazon.com/s?bbn=154670011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154670011%2Cn%3A14530428011&dc&qid=1689403198&rnid=154670011&ref=lp_154670011_nr_n_3	Arts & Photography	Graphic Design	Design	Jewelry		
88	https://www.amazon.com/s?bbn=154670011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154670011%2Cn%3A154675011&dc&qid=1689403198&rnid=154670011&ref=lp_154670011_nr_n_4	Arts & Photography	Graphic Design	Design	Textile & Costume		
89	https://www.amazon.com/s?bbn=154676011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154676011%2Cn%3A154678011&dc&qid=1689403210&rnid=154676011&ref=lp_154676011_nr_n_0	Arts & Photography	Graphic Design	Drawing	Pastel		
90	https://www.amazon.com/s?bbn=154676011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154676011%2Cn%3A154679011&dc&qid=1689403210&rnid=154676011&ref=lp_154676011_nr_n_1	Arts & Photography	Graphic Design	Drawing	Pen & Ink		
91	https://www.amazon.com/s?bbn=154676011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154676011%2Cn%3A154680011&dc&qid=1689403210&rnid=154676011&ref=lp_154676011_nr_n_2	Arts & Photography	Graphic Design	Drawing	Pencil		
92	https://www.amazon.com/s?bbn=154676011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154676011%2Cn%3A154681011&dc&qid=1689403210&rnid=154676011&ref=lp_154676011_nr_n_3	Arts & Photography	Graphic Design	Drawing	Specific Objects		
93	https://www.amazon.com/s?bbn=154682011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154682011%2Cn%3A154684011&dc&qid=1689403219&rnid=154682011&ref=lp_154682011_nr_n_0	Arts & Photography	Graphic Design	Graphic Arts	Use of Color		
